player,<=5,"(5, 10]","(10, 15]","(15, 20]","(20, 25]","(25, 30]","(30, 35]","(35, 50]",>=50,class
BreakNeck,3.8561873944419496,36.97145780898786,32.91196230172533,20.68115978752396,3.6843893355503923,1.1856899343368863,0.5553169796390954,0.058398414863959386,0.09543804293057179,"(5, 10]"
Blackwalk,0.07533177966288994,2.516726465902528,12.465050781523015,49.773601121498295,20.951091222548065,9.167401021939527,4.57300683003219,0.3206052997088876,0.15718547718460002,"(15, 20]"
mercedes_benz,0.3208441561609562,3.3029298116400896,17.58595044665319,31.774489544960893,25.679549216706654,15.215950856340488,5.060150783190219,0.8514194106666277,0.2087157736808847,"(15, 20]"
DORA,0.0006588343188573845,0.0026753352445187607,0.015694753024238593,0.12162083164568999,0.4905155008625604,0.644678999692309,7.826153114968464,90.15076900377072,0.7472336264726303,"(35, 50]"
n2tstar,0.007823384919514073,0.0026473749175300685,0.01553072482348747,0.36104926267571064,1.4561671509809189,6.379413634760364,36.14035050955756,54.8975937807831,0.739424176581845,"(35, 50]"
coldoxygen,0.0043121968871768935,0.00875529096114505,0.43943543470332497,4.168110181044701,13.644701346614314,27.427059466784087,36.520581016467766,17.651189863818857,0.13585520271863843,"(30, 35]"
Giken,3.045218873885963,58.392484388742396,25.990471552885015,8.165922928122294,2.909550495272518,0.9363355556380623,0.43853204588130323,0.04611704177164017,0.07536711780081286,"(5, 10]"
KoreaNo1,4.497101001886206,26.57164886778941,37.45226271718856,16.578738042344927,8.555066387730449,4.260818813805727,1.1973307519703154,0.8184414191413384,0.06859199814305592,"(10, 15]"
undor,1.1455689400887552,7.169032334309532,35.625733596122345,21.103826275167897,27.63658071582431,2.80723788942318,3.734251546651578,0.39270250869957,0.3850661937128315,"(10, 15]"
Fordune,0.07841808766183551,2.619835579448393,12.97573811834733,25.906401212459766,43.618895383942096,9.542985180845198,4.760360794347383,0.33374034982218426,0.16362529312581145,"(20, 25]"
PandaTV-Tongk,3.858833420045079,42.32828164548636,28.22375870826106,20.206326164410687,2.779219396973738,1.246482769375073,0.7185098556646585,0.45336092545434115,0.18522711432899683,"(5, 10]"
Benny-_-,97.14912623668593,2.6619601795088053,0.06612310909059906,0.018498224072269663,0.02671085453366269,0.002632933151665073,0.011838069509667547,0.0020748645061037948,0.06103552894130903,<=5
PanDaTV_Karl,0.14809119122549708,1.5904896116289344,16.14114837797283,30.23452716240285,20.236315235817692,11.60776627653222,16.985005534475313,2.525914464856872,0.5307421450877772,"(15, 20]"
homeboye,17.71341004688899,63.62417105923274,14.20674509215935,2.648732333843471,1.4680614056813148,0.10967437376266415,0.13697575893538777,0.02160703028155158,0.07062289921453094,"(5, 10]"
YUPPIEE,0.058665157061716156,1.2078567893035543,18.944180861510578,26.64422801816007,32.485683929614154,10.99931569306155,6.584192706701361,3.00043855267505,0.07543829191197102,"(20, 25]"
