player_name,solo_KillDeathRatio,solo_DamagePg,solo_AvgSurvivalTime,solo_WinRatio
BreakNeck,3.14,255.36,1262.83,17.65
Blackwalk,4.41,393.04,1221.32,18.18
mercedes_benz,3.6,329.76,1133.17,0
DORA,14,751.95,1677.73,50
n2tstar,10.5,637.48,1640.17,33.33
coldoxygen,5.73,411.95,1375.2,31.25
Giken,2.45,284.57,1238.78,8.45
KoreaNo1,2.71,238.4,1373.22,26.32
undor,3.68,339.44,651.93,13.64
Fordune,4.17,372.38,1259.94,25
PandaTV-Tongk,3.12,325.38,939.83,6.03
Benny-_-,1.2,144.5,838.94,1.19
PanDaTV_Karl,4.46,436.99,1022.25,10.34
homeboye,2.6,290.98,777.27,5.56
YUPPIEE,3.6,327.68,1369.84,13.04
Doomhammer,5,370.65,1212.67,33.33
DinghisKhan,3.35,319.88,1034.83,23.03
YoonRoot,5.06,460.9,1460.38,18.46
3N1GmA,6.6,422.42,1307.95,37.5
synthtail,2.49,285.22,1020.36,4.44
SevenWolf,4.25,381.97,1278.34,12.73
FZTEAMLDS,2.54,260.27,958.31,8.89
1125,5.17,348.39,1303.69,33.33
BombBurst,3.58,337.68,1117.64,14.29
SILPHTV,4.52,419.71,964.91,17.33
SexyPIG,5.16,460.02,1498.2,23.77
TOP_94,2.12,232.01,1136.55,5.19
zeggi,2.39,254.07,1029.77,5.77
baoli6666666,2,218.11,856.54,5.36
Toadoo1,2.3,241.88,1140.64,9.09
ESPOIR,3.45,341.3,1537.86,15.38
SuPoo,2.79,280.21,1099.39,7.69
TwitchTV_SADO,2.99,292.18,1437.58,16.24
cn_NEO,4.03,384.65,1011.97,11.43
Curious_ow,8,487.82,1538.73,36.36
PanDaTV652714,3.55,364.32,632.44,5.56
Se7en_700,5.63,507.62,1156.12,16.33
AKfun,1.83,196.16,540.41,3.85
Romance_,4.16,382.89,1258.12,9.52
Dongwonchamchi,2.66,284.64,1183.53,8.57
TheHell,4.35,403.4,1128.54,18.15
BDBDBB,10.75,494.12,1363.73,50
ChangJin,3.67,282.04,1128.92,25
CraXlayer,2.1,223.8,1155.95,7.69
COSAB-,4.23,413.29,1280.27,16.67
HyukOh,2.23,243.2,748.87,3.76
Yaku1018,3.56,340.98,1385.57,13.33
BanMyo,5.5,429,1152.32,25
GODUNGA,3.28,329.73,1306.92,14.29
Pull7,2.32,253.69,870.09,9.68
juankorea,2.45,252.84,1262.28,13.87
JooHeon,3.26,334.28,973.35,10.26
JAKIM,3.49,337.31,902.15,13.56
Nicknameilanda,2.01,205.95,1479,11.86
Cookiedoodle,3.12,319.89,1055.15,10.53
Xerape,1.5,154.26,925.39,9.09
BLUE-O-,2.83,283.98,1500.8,13.46
KeiHelp,10,370.76,1628.27,66.67
SeaYureka,3.54,321.47,1562.93,22.86
threeBELL,10,580.45,1500.66,50
mcthesex,1.85,205.53,1458.28,9.45
Gyeongwoon,5,438.95,1575.4,20
Rain1ng,4.09,347.25,676.28,15.38
i_Cloud,3.11,305.68,954.47,9.68
evermorelucky,2.5,276.95,1085.99,8.43
Joker666,3.12,292.79,1069.83,5.56
TreadstoneTW,3.23,289.25,1455.74,19.31
D_VaGod,5.75,669.04,1576.14,0
UrbanJacket,2.23,225.51,1134.04,9.09
CCCCCCCCA,11.25,783.81,1325.96,33.33
Panda-WangShaoye,3.11,328.12,850.1,9.79
HunseockGiyomi,3,326.37,732.65,5
Meluke,3.12,334.77,803.38,3.85
SurplusHuman,5.86,454.21,1201.61,22.22
Jembty,4.77,460.75,961.87,13.73
Condemn,2,247.48,1084.33,2.44
tjwzsp,2.47,254.69,966.28,9.96
DalGoNa,1.65,181.03,1158.71,5.56
whoai,4.32,365.33,931.57,19.15
YapHunter,1.75,195.64,1302.74,3.17
AceAcephd,2.26,211.89,1220.4,18.18
misosoo,4.33,350.79,1512.93,25
Qurate,4.85,454.43,1601.47,18.75
hun__Dan233,0,0,685.35,0
Bumkey,2.38,238.69,1122.74,9.84
Solky,2.2,221.35,1557.77,7.69
WeiX,1.47,173.78,1303.57,1.92
KPK_Ssong,8.17,457.8,1165.17,40
Autumn_KR,1.1,116.21,1315.15,8.28
Nucleus,3.38,323.5,953.62,11.11
Tmfprl,3.41,343.86,1234.55,12
DogPigBear,1.38,155.08,912.73,4.55
3NCORE,3.94,373.33,992.92,12.71
KDHkorea,2.29,227.63,1221.66,14.33
jungwook,3.37,316.32,1361.27,17.33
Sitton,6,467.94,1421.75,27.27
PANDATV-TYF,3.05,328.47,1262.48,9.84
Great_Cornholio,0,0,561.04,0
Cafri,3.1,276.31,1462.74,16.67
evermoreDAMBI,5,619.2,1663.45,0
WatchAss,2,221.8,868.23,5
Yolo-LaLaLa,8.09,558.76,1409.94,35.29
Ayu0,3.96,416.21,903.77,9.73
ta--ttoo,3.48,362.29,894.78,7.14
POT-PAPER,3.24,349.21,819.41,0
C00LrabbiT,1.26,150.92,742.92,1.34
AlexConnor,2.9,305.04,1334.45,0
Co-in,7,485.4,1572.74,33.33
sQLs,5.5,396.07,1319.5,28.57
YumGu1_1,2.12,225.24,1063.79,9.26
AIM0_0,2.53,258.5,1220.53,16.67
Zanpah,4.83,478.54,773.22,0
Jiaozhu1627,3.69,363.68,1044.1,12.43
DIGDA-,1.78,181.78,790.59,2.41
bbaru,1.83,218.79,945.62,4.55
S2BEAST,7,388.91,1024.13,50
JOVVA,3.06,282.59,952.33,15
Gaedol,5.05,432.78,1595.31,25
LHiD,3.29,321.67,1199.12,12.82
evermoreJongseo,2.89,281.3,1047.24,10
LAONJENA,3.56,296.35,1634.68,28
patbingsu,2.78,309.14,1163.68,6.7
VanilLa12,4.32,435.07,994.34,8.63
Taejin-CHOI,3.5,402.73,1685.41,0
kimwow,3.19,300.99,1264.99,20
Booree,1.94,209.82,810.57,8.75
S2yeonS2,1.96,230.89,907.71,1.85
Inception_CCJ,2.9,328.8,1018.91,0
TechnoloGY,3.01,324.66,1005.2,11.54
korchan,1.64,189.54,1031.92,3.81
YANGGANGGANG,2.37,253.41,1322.01,6.32
Gaitan,5.67,337.76,1184.77,40
PlayerJP,2.56,239.59,1689.15,18.5
doliGGo,2.88,236.06,1244.8,27.27
LeeSunShin,3.42,340.38,994.54,11.63
DJLee,17,1028.75,1886.96,100
APLUSVABLE,2.87,315.7,778.47,3.45
lucienau,2.26,270.94,1451.54,6.06
nfc1204,2.12,225.13,581.47,9.09
KR_Sigma,3.61,341.46,1102.4,10
MingG1,3.42,330.03,1265.73,13.64
elementtos,2.33,254.5,1129.69,8.47
Lute,2.54,272.26,1273.03,9.43
Faultlessly,3.61,325.29,1472.66,25.42
Jeropiss,1.68,197,1270.33,1.75
ALDOGG,2.35,246.89,1079.29,12.27
denahuen,5.33,396.46,1120.06,28.14
peatrmao,0.88,108.81,401.33,1.27
Korys,2.31,264.7,846.89,3.09
waggudaejang,2.23,230.86,948.22,7.14
MiracleTV-Twitch,4.49,411.48,1379.52,20.72
Chomuske,2.83,297.38,1275.52,11.81
Haxete,4.17,434,981.43,0
anlian,1.92,229.23,801.81,8.64
DeadFury,2.73,287.57,1023.15,9.6
Xp_cnix,2.15,235.57,915.01,5.83
Yolo-260188,7.81,645.22,1240.28,23.93
betelgeuze,2.08,215.23,1321.45,8.43
cuopon,1.7,205.19,1237.87,7.63
SINCHAN,2.5,264.41,1214.57,9.09
Mak2b,2.77,293.08,803.58,6.06
R3gret,5.5,380.3,1962.72,33.33
MenpaYoutube,3.32,298.95,1509.11,24.11
FirePillar,2.11,223.66,1106.22,10.45
Larm,2.51,269.7,1474.48,12.5
PaaaRADOX,3.54,372.86,1418.35,14.29
Real_Paddy,3.08,360.45,621.11,0
Computer0o0,1.18,131.77,1422.44,3.25
P9_JinJu,2.69,259.97,915.61,8.16
CnJ_MilKis,1.41,150.38,1486.5,10.15
Akakiki,0.6,62.28,899.49,0
euin,4.7,364.15,1183.68,28.57
VoHiYo,3.17,356.05,971.33,0
StephenNgo,1.48,163.82,1342.5,8.28
HuYaXiaoNiangZi,3.06,320.97,1151.63,9.62
ilovit,3.12,293.43,1422.78,11.11
EinherjarSKF,4.03,383.79,917.23,11.9
CHANHUI,3.39,291.72,1372.91,23.27
CouQueDas,2.91,296.31,1242.06,11.26
atskake,2.7,271.86,898.53,7.5
alexlch7,2.21,244.4,839.89,5
Moguchon_Cow,3.52,348.32,1248.6,16
yangyao,4.14,409.73,1368.61,12.92
YounghoPark,1.88,224.7,902.27,4.79
Pingdoly,2.81,289.09,1447.94,12.24
Interrogate,3.48,344.31,847.54,6.15
AvalonOnFire,8.32,645.57,1416.12,29.03
KangHaBin,2.33,260.18,1295.84,6.25
81gPp,6.5,417.66,1245.04,33.33
p9_bulldog,2.28,235.12,1124.81,2.5
pppg,2.78,271.46,684.73,11.11
miniDIVE,10,507.52,1654.73,50
HONG_LEGO,2.79,270.74,975.82,18.18
Keeeee,3.55,374.65,1133.37,9.21
WolfRain,4.49,419.64,1372.53,18.35
kravitz,1.8,197.18,1414.57,5.91
wlswlswlsz,2.29,246.97,824.55,6.19
Karma--Police,1.29,165.77,1192.3,2.14
abyssal-horror,2.77,281,1315.24,10.34
