player_name,solo_KillDeathRatio,solo_DamagePg,solo_AvgSurvivalTime,solo_WinRatio
SkyOcean,0.79,97.53,938.49,0.65
ErminA,2.48,265.28,936.64,7.46
Priv8,3.68,303.61,1631.5,22.81
kism00,1.69,202.42,696.67,5.45
AGUMON2,1.6,183.05,788.49,0
Heerit,1.58,177.23,1118.62,0
uS2Su,2.93,292.63,722.63,12.5
pinkgay,1.63,186.63,864.1,2.62
SOMDA,1.07,131.88,1156.36,0
youki,1.67,185.36,1011.73,4
EasyToMe,0,0,852.17,0
Enfiende,1.8,203,850.83,1.89
Zirase,2.33,234.54,1152.93,14
sunwoooo,1.58,164.68,1125.42,6.35
St_R1kkuN,2,231.83,848.88,4.01
Nhac,2.53,274.84,1026.6,6.43
JinLee88,1.9,202.76,1020.91,11.36
SacGul,1.7,202.15,1125.37,3.6
oo13,1.63,189.64,948.14,1.35
SamXue,1.54,173.68,1172.96,3.62
subslayer,2.5,267.28,498.21,0
Exer0,2,235.91,825.37,2.44
mauriti,2.84,264.1,925.54,10.94
checkgul,35,710.45,1856.02,80
JHR1,1.22,140.77,891.74,4.42
bring_it_on,0.9,104.56,548.69,1
IlII,7.67,402.25,1560.93,50
yossi,1.77,203.89,872.61,0
ggolim,2.33,236.91,1292.09,10.81
25rasu,1.08,113.41,1406.8,7.79
NoSana-NoLife,2.47,240.17,1047.31,11.76
EHoo,1,136.44,1017.23,1.33
HUNDONG,1.83,190.8,1146.76,5.33
ToSTte,1.1,146.16,993.16,1.08
Punkin_,1.71,165.74,1447.63,12.5
mmnm,4.17,398.47,1624.55,14.29
KANASY,23,516.88,1740.43,75
Zelendra,3.06,323.74,1133.61,11
Sorken,2.24,238.56,1200.13,11.98
KimDongGle,1.98,225.22,1083.58,4.26
qhrizz,3.73,346.39,1132.74,11.76
Jamren,1.25,142.08,1122.36,0.87
Gaggu,0.49,69.58,975.44,0.74
GGonzo,2.2,236.77,1064.23,8.33
dickdickdick,3.02,297.73,1375.38,8.7
Odinz,14,462.99,1870.53,66.67
DEDHOT,0.81,98.5,802.33,2.49
TXmaster,1.08,131.54,1058.45,2.03
CRISTIS,13.5,824.52,1769.7,46.67
KOR_Aperio,1.34,161.95,838.94,1.19
1RoHa_,1.45,167.54,762.57,1.8
Xibalnoma,1.43,162.07,809.25,0
TheKan,1,122.07,977.89,1.96
Toujours,3.31,304.43,1183.44,14.63
hamfz,4.61,393.26,1424.85,21.74
BananaGoesHam,1.48,162.39,953.95,4.6
Dane1,1.33,162.8,1422.79,3.15
Ironmeen,2.34,239.15,1246.16,7.14
KingToad,1.86,202.82,1141.46,12.5
BlessOfGOD,1.12,146.16,1002.34,0
ORPHAN_K,2.55,266.24,747.64,8.33
macchky,3,216.53,1265.75,28.57
arun8405,3.38,330.26,1388.09,11.9
Yonsei-Milk,2.14,237.99,1160.12,7.55
Reffon,1.53,177.84,884.09,3.57
JustJonesin,4.33,344.54,1039.67,25
